aX,aY,aZ
-1.016,-0.244,0.022
-0.993,-0.223,-0.069
-0.811,-0.201,-0.377
-0.777,-0.155,-0.427
-0.718,-0.160,-0.555
-0.694,-0.141,-0.526
-0.623,-0.163,-0.496
-0.626,-0.137,-0.396
-0.680,-0.162,-0.345
-0.659,-0.105,-0.443
-0.692,-0.074,-0.505
-0.743,0.010,-0.576
-0.795,0.018,-0.637
-0.815,0.052,-0.583
-0.801,0.045,-0.531
-0.805,0.024,-0.476
-0.763,0.025,-0.477
-0.696,0.009,-0.577
-0.691,-0.002,-0.615
-0.688,-0.033,-0.830
-0.584,-0.182,-0.922
-0.526,-0.198,-0.797
-0.604,-0.067,-0.731
-0.632,-0.133,-0.683
-0.678,-0.199,-0.697
-0.664,-0.037,-0.793
-0.799,0.125,-0.657
-0.850,0.200,-0.507
-0.801,0.079,-0.563
-0.774,0.099,-0.592
-0.753,0.081,-0.556
-0.687,0.016,-0.549
-0.621,-0.041,-0.602
-0.595,-0.062,-0.665
-0.519,-0.126,-0.704
-0.442,-0.055,-0.626
-0.447,-0.018,-0.601
-0.465,0.029,-0.545
-0.498,0.022,-0.543
-0.484,0.015,-0.585
-0.620,0.060,-0.656
-0.532,0.019,-0.629
-0.547,0.014,-0.605
-0.563,0.014,-0.591
-0.531,0.084,-0.638
-0.499,0.095,-0.643
-0.495,0.104,-0.649
-0.609,0.184,-0.728
-0.653,0.225,-0.706
-0.738,0.174,-0.680
-0.726,0.211,-0.688
-0.685,0.247,-0.708
-0.751,-0.234,-0.892
-0.981,-0.269,-1.000
-0.741,-0.495,-1.750
-2.101,-0.272,-2.146
-1.249,0.212,0.681
-0.937,-0.349,0.736
-0.867,-0.200,-0.086
-0.670,-0.424,-0.653
-0.942,-0.681,-1.375
-1.040,-0.314,-1.106
-1.095,-0.307,-0.458
-1.017,-0.422,-0.361
-0.931,-0.275,-0.246
-0.816,-0.329,-0.577
-0.659,-0.316,-0.726
-0.599,-0.246,-0.659
-0.697,-0.162,-0.660
-0.813,-0.102,-0.630
-0.840,-0.162,-0.551
-0.785,-0.237,-0.569
-0.763,-0.279,-0.588
-0.627,-0.300,-0.610
-0.636,-0.274,-0.602
-0.655,-0.260,-0.576
-0.807,-0.330,-0.553
-0.801,-0.332,-0.508
-0.795,-0.332,-0.479
-0.761,-0.332,-0.387
-0.772,-0.345,-0.386
-0.784,-0.374,-0.384
-0.767,-0.346,-0.572
-0.712,-0.341,-0.605
-0.692,-0.330,-0.624
