aX,aY,aZ
-1.011,-0.065,-0.244
-1.003,-0.099,-0.271
-0.926,-0.172,-0.302
-0.832,-0.285,-0.289
-0.772,-0.284,-0.394
-0.783,-0.316,-0.429
-0.845,-0.273,-0.440
-0.903,-0.279,-0.411
-0.842,-0.326,-0.356
-0.872,-0.337,-0.383
-0.912,-0.294,-0.422
-0.977,-0.201,-0.426
-0.996,-0.272,-0.402
-0.948,-0.336,-0.427
-0.855,-0.316,-0.633
-0.904,-0.211,-0.616
-0.874,-0.196,-0.595
-1.208,-0.128,-0.844
-0.917,0.130,-0.924
-0.854,0.174,-1.054
-0.966,0.345,-1.125
-0.931,0.277,-0.892
-1.041,0.160,-0.774
-1.598,-0.641,0.340
-1.617,-0.417,0.092
-1.106,-0.360,0.010
-0.659,-0.301,-0.348
-0.728,-0.018,-0.638
-0.748,-0.015,-0.588
-0.737,0.042,-0.510
-0.682,0.124,-0.234
-0.631,0.141,-0.123
-0.561,0.006,-0.127
-0.571,-0.074,-0.079
-0.578,-0.103,0.000
-0.675,-0.070,0.010
-0.766,0.017,-0.235
-0.824,0.000,-0.349
-0.976,0.157,-0.499
-1.037,0.403,-0.771
-0.931,0.394,-0.974
-0.622,-0.017,-1.298
-0.794,-0.027,-1.230
-0.801,0.279,-1.285
-0.725,0.391,-0.949
-1.263,-0.249,0.097
-1.156,-0.526,0.201
-1.472,0.016,-0.241
-1.314,0.798,-1.432
-0.750,-0.228,-0.907
-0.788,-0.491,0.123
-0.640,-0.421,0.020
-0.637,-0.319,-0.044
-0.908,0.299,-0.065
-0.838,-0.816,-0.782
-0.838,-0.715,-0.696
-0.759,-0.456,-0.547
-0.758,-0.103,-0.439
-0.926,-0.102,-0.270
-0.981,-0.126,-0.308
-0.851,-0.241,-0.422
-0.799,-0.350,-0.465
-0.846,-0.298,-0.432
-0.904,-0.255,-0.426
-0.851,-0.315,-0.370
-0.818,-0.351,-0.327
-0.812,-0.347,-0.305
-0.996,-0.204,-0.345
-1.076,-0.176,-0.374
-1.015,-0.279,-0.378
-0.794,-0.465,-0.431
-0.731,-0.451,-0.524
-0.792,-0.297,-0.619
-0.890,-0.165,-0.534
-0.924,-0.183,-0.627
-1.150,-0.101,-0.716
-1.021,0.004,-0.808
-1.023,0.046,-0.974
-0.876,0.277,-0.875
-0.942,0.210,-0.676
-1.051,0.171,-0.660
-1.266,-0.516,-0.327
-1.314,-0.248,-0.115
-0.695,-0.091,-0.341
-0.693,-0.066,-0.199
-0.622,-0.092,-0.166
-0.570,-0.120,-0.179
-0.637,-0.135,-0.169
-0.802,-0.057,-0.072
-0.859,-0.038,-0.229
-0.853,-0.002,-0.392
-0.916,0.083,-0.713
-0.820,0.032,-0.788
-0.751,0.087,-0.900
-0.759,-0.007,-1.064
-0.820,-0.004,-1.057
-0.932,0.147,-1.004
-0.795,-0.061,-0.560
-0.671,-0.095,-0.428
-0.799,-0.253,-0.244
-1.183,-0.355,-0.149
-1.427,-0.112,-0.439
-1.669,0.527,-0.935
-0.742,-0.394,-0.535
-0.831,-0.388,-0.030
-0.740,-0.305,0.185
-0.684,0.061,0.061
-0.842,0.109,-0.060
-0.914,-0.765,-0.671
-0.802,-0.467,-0.466
-0.924,-0.128,-0.302
-0.996,-0.081,-0.296
-0.939,-0.143,-0.368
-0.831,-0.208,-0.401
-0.851,-0.372,-0.375
-0.840,-0.357,-0.403
-0.810,-0.347,-0.408
-0.833,-0.388,-0.320
-0.850,-0.385,-0.312
-0.926,-0.305,-0.286
-1.018,-0.197,-0.316
-1.051,-0.223,-0.325
-0.966,-0.360,-0.388
-0.844,-0.439,-0.492
-0.807,-0.425,-0.556
-0.863,-0.264,-0.577
-0.913,-0.265,-0.671
-1.146,-0.258,-0.798
-1.015,0.031,-0.732
-0.987,0.097,-0.887
-0.992,0.156,-0.985
-0.953,0.263,-0.779
-1.116,0.160,-0.632
-1.302,-0.131,-0.349
-1.382,-1.455,0.174
-1.480,-0.248,-0.026
-1.007,-0.325,-0.057
-0.668,-0.159,-0.419
-0.662,-0.063,-0.631
-0.731,0.057,-0.591
-0.747,0.096,-0.354
-0.717,0.070,-0.220
-0.659,0.047,-0.220
-0.570,0.012,-0.158
-0.622,-0.067,-0.096
-0.639,-0.079,-0.074
-0.713,-0.099,-0.156
-0.778,-0.110,-0.336
-0.802,-0.072,-0.399
-0.939,0.097,-0.557
-0.884,0.159,-0.722
-0.832,0.156,-0.854
-0.718,-0.028,-1.034
-0.787,0.080,-1.301
-0.854,0.260,-1.394
-0.919,0.333,-1.110
-0.849,0.211,-0.462
-1.156,0.071,-0.125
-1.178,-0.166,-0.242
-1.235,0.202,-0.538
-1.340,0.466,-0.744
-0.931,-0.122,-0.732
-0.737,-0.426,0.064
-0.661,-0.432,0.058
-0.704,-0.046,-0.069
-0.982,0.063,-0.266
-1.065,-0.432,-0.490
-0.833,-0.655,-0.557
-0.675,-0.589,-0.497
-0.646,-0.515,-0.547
-0.836,-0.137,-0.428
-1.018,-0.071,-0.262
-1.006,-0.130,-0.288
-0.962,-0.179,-0.310
-0.861,-0.237,-0.301
-0.841,-0.315,-0.308
-0.869,-0.389,-0.308
-0.912,-0.346,-0.252
-0.906,-0.340,-0.282
-0.884,-0.406,-0.327
-0.872,-0.441,-0.324
-0.883,-0.433,-0.321
-0.905,-0.275,-0.310
-0.983,-0.164,-0.271
-0.991,-0.247,-0.265
-0.930,-0.413,-0.301
-0.797,-0.479,-0.319
-0.771,-0.506,-0.345
-0.762,-0.560,-0.405
-0.748,-0.490,-0.379
-0.706,-0.300,-0.342
-1.078,-0.145,-0.379
-1.281,-0.068,-0.346
-1.219,0.040,-0.365
-1.197,-0.084,-0.479
-1.132,-0.092,-0.407
-1.117,-0.052,-0.294
-1.071,-0.147,-0.036
-1.114,-0.067,0.054
-1.102,0.058,-0.105
-1.083,-0.031,-0.195
-1.033,-0.015,-0.306
-1.001,0.017,-0.398
-0.915,0.126,-0.277
-0.859,0.016,-0.308
-0.841,-0.027,-0.319
-0.864,-0.017,-0.191
-0.786,0.003,-0.145
-0.767,0.014,-0.150
-0.794,0.028,-0.178
-0.813,-0.018,-0.240
-0.813,-0.013,-0.304
-0.824,-0.007,-0.427
-0.899,0.014,-0.449
-0.895,0.052,-0.380
-0.879,0.018,-0.357
-0.913,-0.072,-0.409
-0.875,-0.005,-0.434
-0.714,-0.120,-0.661
-0.657,0.044,-0.691
-0.647,0.080,-0.769
-0.694,-0.145,-0.851
-0.709,-0.190,-0.811
-0.700,-0.139,-0.699
-1.177,0.670,-0.706
-1.118,0.122,-0.963
-1.119,-0.074,-0.421
-0.868,-0.145,-0.008
-0.888,-0.251,-0.106
-0.960,-0.270,-0.124
-1.036,-0.123,-0.288
-0.879,-0.296,-0.370
-0.850,-0.324,-0.371
-0.802,-0.439,-0.515
-0.844,-0.466,-0.576
-0.865,-0.420,-0.580
-0.908,-0.233,-0.458
-1.004,-0.185,-0.313
-0.972,-0.228,-0.332
-0.859,-0.291,-0.335
-0.866,-0.332,-0.401
-0.861,-0.328,-0.438
-0.849,-0.299,-0.424
-0.884,-0.304,-0.358
-0.878,-0.311,-0.353
-0.863,-0.387,-0.411
-0.825,-0.485,-0.506
-0.801,-0.477,-0.496
-0.821,-0.363,-0.418
-0.863,-0.326,-0.402
-0.869,-0.344,-0.429
-0.825,-0.388,-0.479
-0.773,-0.405,-0.518
-0.780,-0.378,-0.540
-0.812,-0.275,-0.548
-0.863,-0.278,-0.507
-0.844,-0.306,-0.515
-0.812,-0.287,-0.521
-0.827,-0.212,-0.493
-0.845,-0.192,-0.480
-0.880,-0.285,-0.534
-1.143,-0.292,-0.603
-1.279,-0.248,-0.654
-1.135,-0.049,-0.694
-0.989,0.052,-0.664
-1.063,0.209,-0.643
-1.099,0.209,-0.575
-1.220,-0.101,-0.279
-1.169,-0.439,-0.095
-1.064,-0.007,-0.025
-1.071,-0.426,-0.050
-0.974,-0.258,-0.176
-0.954,-0.054,-0.514
-0.648,-0.160,-0.297
-0.674,-0.092,-0.321
-0.614,0.017,-0.397
-0.678,-0.007,-0.359
-0.673,0.010,-0.408
