aX,aY,aZ
-0.869,-0.296,-0.598
-0.901,-0.223,-0.319
-0.752,-0.100,-0.365
-0.691,-0.278,-0.342
-0.810,-0.131,-0.469
-0.589,-0.094,-0.567
-0.632,-0.208,-0.342
-0.574,-0.334,-0.296
-0.495,-0.280,-0.382
-0.467,-0.270,-0.417
-0.410,-0.312,-0.447
-0.327,-0.336,-0.466
-0.322,-0.415,-0.555
-0.267,-0.412,-0.380
-0.241,-0.453,-0.471
-0.224,-0.408,-0.483
-0.224,-0.392,-0.470
-0.274,-0.345,-0.471
-0.337,-0.466,-0.508
-0.366,-0.554,-0.599
-0.352,-0.510,-0.539
-0.331,-0.219,-0.559
-0.427,-0.230,-0.898
-0.502,-0.536,-1.396
-1.257,-1.751,-1.622
-0.631,-0.690,-0.400
-0.558,-0.446,-0.354
-0.469,0.052,-0.693
-0.461,-0.233,-0.269
-0.530,-0.488,-0.322
-0.732,-0.943,-0.813
-1.088,-1.133,-0.936
-0.879,-0.784,-0.807
-0.667,-0.438,-0.559
-0.652,-0.527,-0.514
-0.615,-0.497,-0.513
-0.567,-0.528,-0.484
-0.612,-0.605,-0.581
-0.632,-0.621,-0.744
-0.693,-0.554,-0.614
-0.741,-0.457,-0.552
-0.732,-0.407,-0.501
-0.697,-0.377,-0.428
-0.671,-0.393,-0.487
-0.656,-0.387,-0.531
-0.553,-0.443,-0.527
-0.634,-0.295,-0.528
-0.663,-0.259,-0.485
-0.712,-0.337,-0.439
-0.735,-0.299,-0.522
-0.745,-0.286,-0.539
-0.761,-0.307,-0.525
-0.745,-0.336,-0.566
-0.714,-0.317,-0.561
-0.740,-0.305,-0.583
-0.777,-0.271,-0.617
-0.807,-0.242,-0.605
-0.773,-0.284,-0.493
-0.756,-0.198,-0.535
-0.749,-0.239,-0.521
-0.779,-0.221,-0.501
-0.822,-0.236,-0.455
-0.827,-0.236,-0.467
-0.833,-0.252,-0.523
-0.786,-0.335,-0.497
-0.823,-0.265,-0.501
-0.826,-0.251,-0.532
-0.834,-0.229,-0.509
-0.831,-0.253,-0.487
-0.824,-0.282,-0.475
-0.822,-0.272,-0.479
-0.827,-0.290,-0.467
-0.772,-0.395,-0.503
-0.781,-0.418,-0.507
-0.854,-0.309,-0.520
-0.924,-0.212,-0.580
-0.961,-0.209,-0.578
-0.993,-0.299,-0.519
-1.080,-0.354,-0.526
-1.153,-0.264,-0.589
-1.168,-0.284,-0.579
-1.167,-0.176,-0.613
-1.178,-0.116,-0.633
-1.161,-0.056,-0.620
-1.148,0.027,-0.580
-1.035,0.020,-0.605
-0.996,-0.016,-0.648
-0.923,-0.045,-0.676
-0.951,-0.081,-0.735
-0.912,-0.171,-0.763
-0.745,-0.306,-0.631
-0.721,-0.260,-0.525
-0.777,-0.235,-0.478
-0.610,-0.313,-0.719
-0.660,-0.387,-0.812
-0.699,-0.397,-0.819
-0.816,0.014,-0.573
-0.815,0.173,-0.372
-0.782,0.024,-0.294
-0.664,-0.137,-0.483
-0.754,-0.164,-0.604
-0.715,-0.144,-0.614
-0.628,-0.285,-0.621
-0.587,-0.393,-0.578
-0.578,-0.374,-0.612
-0.496,-0.201,-0.597
-0.424,-0.253,-0.573
-0.393,-0.272,-0.561
-0.332,-0.458,-0.581
-0.306,-0.428,-0.564
-0.288,-0.425,-0.588
-0.228,-0.413,-0.561
-0.219,-0.347,-0.625
-0.240,-0.310,-0.632
-0.275,-0.269,-0.658
-0.297,-0.270,-0.614
-0.300,-0.280,-0.605
-0.254,-0.373,-0.606
-0.272,-0.542,-0.838
-0.325,-0.439,-0.752
-0.335,-0.413,-0.670
-0.328,-0.355,-0.597
-0.400,-0.317,-0.739
-0.417,-0.384,-0.860
-0.410,-0.442,-0.832
-0.434,-0.547,-1.119
-0.451,-0.660,-1.196
-0.430,-0.775,-1.030
-0.361,-0.642,-0.793
-0.341,-0.516,-0.668
-0.312,-0.408,-0.567
-0.376,-0.529,-0.697
-0.393,-0.565,-0.785
-0.462,-0.624,-0.856
-0.549,-0.527,-0.843
-0.570,-0.442,-0.838
-0.579,-0.392,-0.681
-0.663,-0.485,-0.685
-0.712,-0.552,-0.650
-0.789,-0.635,-0.761
-0.765,-0.751,-0.636
-0.808,-0.631,-0.772
-0.765,-0.484,-0.739
-0.755,-0.480,-0.681
-0.685,-0.433,-0.614
-0.662,-0.451,-0.472
-0.637,-0.443,-0.461
-0.629,-0.474,-0.430
-0.682,-0.487,-0.421
-0.736,-0.499,-0.592
-0.689,-0.447,-0.627
-0.667,-0.377,-0.596
-0.695,-0.326,-0.631
-0.695,-0.312,-0.670
-0.753,-0.235,-0.514
-0.765,-0.221,-0.624
-0.734,-0.293,-0.508
-0.642,-0.422,-0.552
-0.610,-0.370,-0.594
-0.628,-0.355,-0.603
-0.674,-0.330,-0.610
-0.696,-0.251,-0.683
-0.708,-0.155,-0.721
-0.680,-0.265,-0.644
-0.720,-0.194,-0.597
-0.703,-0.250,-0.585
-0.787,-0.347,-0.568
-0.657,-0.382,-0.516
-0.752,-0.278,-0.438
-0.795,-0.353,-0.504
-0.793,-0.383,-0.524
-0.785,-0.342,-0.428
-0.873,-0.192,-0.443
-0.895,-0.234,-0.487
-0.896,-0.256,-0.470
-0.806,-0.273,-0.485
-0.755,-0.331,-0.542
-0.753,-0.328,-0.545
-0.742,-0.370,-0.558
-0.756,-0.359,-0.540
-0.793,-0.277,-0.511
-0.883,-0.291,-0.406
-0.930,-0.312,-0.353
-0.927,-0.358,-0.359
-0.906,-0.344,-0.402
-0.865,-0.326,-0.512
-0.870,-0.306,-0.541
-1.043,-0.226,-0.664
-1.148,-0.220,-0.649
-1.192,-0.267,-0.642
-1.300,-0.324,-0.604
-1.360,-0.309,-0.584
-1.332,-0.259,-0.587
-1.202,-0.140,-0.573
-1.149,-0.039,-0.556
-1.102,0.048,-0.559
-0.960,0.155,-0.621
-0.901,0.101,-0.743
-0.836,0.012,-0.828
-0.833,-0.166,-0.816
-0.624,-0.317,-0.728
-0.543,-0.345,-0.612
-0.755,-0.075,-0.471
-0.848,0.020,-0.438
-0.768,0.006,-0.471
-0.692,-0.166,-0.662
-0.796,-0.103,-0.598
-0.876,-0.061,-0.612
-0.783,-0.075,-0.496
