aX,aY,aZ
0.118,-1.050,-0.296
0.134,-0.989,-0.263
0.142,-0.959,-0.256
0.165,-0.922,-0.269
0.172,-0.940,-0.308
0.168,-0.928,-0.308
0.157,-0.965,-0.325
0.149,-0.954,-0.310
0.152,-0.946,-0.296
0.156,-0.949,-0.290
0.157,-0.945,-0.287
0.149,-0.951,-0.290
0.150,-0.954,-0.287
0.161,-0.955,-0.296
0.155,-0.961,-0.286
0.161,-0.957,-0.303
0.161,-0.940,-0.299
0.159,-0.927,-0.284
0.157,-0.941,-0.301
0.156,-0.958,-0.301
0.160,-0.955,-0.306
0.158,-0.935,-0.289
0.155,-0.952,-0.291
0.155,-0.964,-0.298
0.159,-0.956,-0.298
0.156,-0.956,-0.303
0.154,-0.978,-0.306
0.161,-0.981,-0.311
0.160,-0.976,-0.323
0.176,-0.973,-0.305
0.200,-0.904,-0.189
0.200,-0.990,-0.432
0.184,-0.987,-0.342
0.200,-1.019,-0.352
0.204,-1.042,-0.386
0.203,-1.062,-0.376
0.244,-1.055,-0.396
0.284,-1.066,-0.419
0.285,-1.094,-0.446
0.249,-1.136,-0.389
0.261,-1.076,-0.292
0.283,-1.026,-0.271
0.284,-1.017,-0.266
0.270,-1.049,-0.222
0.264,-1.101,-0.214
0.292,-1.075,-0.130
0.282,-1.053,-0.121
0.335,-1.092,-0.065
0.369,-1.210,-0.052
0.393,-0.925,0.049
0.385,-0.833,0.046
0.423,-0.833,0.094
0.436,-0.720,0.152
0.514,-0.719,0.094
0.578,-0.753,0.102
0.562,-0.770,0.131
0.614,-0.795,0.141
0.636,-0.751,0.151
0.670,-0.793,0.166
0.667,-0.741,0.237
0.623,-0.724,0.265
0.656,-0.765,0.244
0.675,-0.737,0.277
0.723,-0.703,0.319
0.699,-0.657,0.303
0.705,-0.609,0.328
0.781,-0.602,0.368
0.711,-0.522,0.366
0.773,-0.553,0.395
0.742,-0.480,0.452
0.760,-0.449,0.473
0.728,-0.401,0.438
0.726,-0.316,0.473
0.754,-0.306,0.436
0.745,-0.203,0.496
0.709,-0.141,0.516
0.721,-0.086,0.518
0.733,-0.051,0.517
0.783,-0.013,0.487
0.736,0.046,0.483
0.742,0.135,0.493
0.787,0.199,0.485
0.715,0.263,0.449
0.647,0.321,0.519
0.619,0.359,0.489
0.637,0.342,0.453
0.681,0.421,0.439
0.620,0.592,0.427
0.611,0.666,0.530
0.576,0.611,0.455
0.678,0.750,0.347
0.746,0.799,0.269
0.780,0.772,0.330
0.759,0.608,0.217
0.727,0.566,0.302
0.653,0.633,0.429
0.579,0.667,0.413
0.558,0.698,0.371
0.620,0.743,0.366
0.637,0.679,0.323
0.606,0.720,0.329
0.558,0.839,0.348
0.573,0.848,0.345
0.619,0.831,0.320
0.610,0.805,0.370
0.536,0.679,0.306
0.686,0.549,0.308
0.740,0.424,0.336
0.766,0.412,0.418
0.637,0.341,0.320
0.707,0.193,0.376
0.639,0.180,0.346
0.741,0.015,0.279
0.820,-0.127,0.236
0.787,-0.137,0.241
0.696,-0.273,0.294
0.681,-0.397,0.217
0.788,-0.472,0.222
0.626,-0.531,0.219
0.623,-0.505,0.186
0.672,-0.617,0.087
0.678,-0.840,0.008
0.591,-1.002,0.005
0.577,-0.959,0.095
0.639,-0.905,0.055
0.667,-0.902,-0.005
0.609,-0.944,-0.062
0.533,-0.950,0.023
0.581,-1.019,-0.052
0.552,-1.060,-0.097
0.506,-1.004,-0.078
0.520,-0.887,-0.061
0.443,-0.913,-0.078
0.570,-0.993,-0.171
0.501,-1.081,-0.300
0.443,-0.999,-0.213
0.428,-1.033,-0.212
0.408,-0.950,-0.174
0.399,-1.001,-0.333
0.378,-1.019,-0.334
